# Receptor           |   Active state                |   Inactive state         
#                    |   Multi   Orig   Templ seq_id |   Multi   Orig   Templ seq_id 
#                    
Q8NGT5_OR9A2         |   89.25   87.18  8f76_A  25.8 |   89.58   87.82  2ycw_A  16.8
Q8NGT7_OR2A12        |   89.53   90.49  8f76_A  29.0 |   81.51   90.08  3uzc_A  21.0
Q8NGT9_OR2A1         |   89.44   90.72  8f76_A  27.7 |   86.29   90.78  3vg9_A  20.0
Q8NGU2_OR9A4         |   91.87   86.36  8f76_A  28.0 |   86.15   87.21  6tod_A  18.2
Q8NGV0_OR2Y1         |   92.08   91.65  8f76_A  28.3 |   90.11   92.01  3vg9_A  18.6
Q8NGV5_OR13D1        |   92.55   88.71  8f76_A  25.1 |   92.62   89.55  2ycw_A  17.6
Q8NGV6_OR5H6         |   88.37   90.77  8f76_A  27.4 |   80.70   91.74  7bvq_A  17.5
Q8NGV7_OR5H2         |   88.67   90.07  8f76_A  27.1 |   80.99   89.87  7bvq_A  17.8
Q8NGW1_OR6B3         |   89.91   86.47  8f76_A  26.9 |   90.66   86.67  3vg9_A  19.0
Q8NGW6_OR6K6         |   90.19   90.88  8f76_A  26.8 |   87.22   91.29  3uzc_A  16.3
Q8NGX0_OR11L1        |   94.30   93.02  8f76_A  27.6 |   91.31   92.50  3uzc_A  20.2
Q8NGX1_OR2T34        |   92.74   89.26  8f76_A  26.1 |   89.16   89.31  3vg9_A  20.1
Q8NGX2_OR2T35        |   90.40   91.37  8f76_A  28.2 |   87.08   90.99  6tod_A  18.3
Q8NGX3_OR10T2        |   93.15   90.90  8f76_A  26.8 |   90.26   90.95  3uzc_A  17.2
Q8NGX5_OR10K1        |   90.84   88.63  8f76_A  25.9 |   92.48   88.99  3vg9_A  19.2
Q8NGX6_OR10R2        |   92.59   90.79  8f76_A  26.6 |   85.24   90.47  2r4s_A  16.7
Q8NGX8_OR6Y1         |   92.58   90.64  8f76_A  24.9 |   87.82   90.75  3vg9_A  19.7
Q8NGX9_OR6P1         |   90.42   88.12  8f76_A  24.6 |   90.07   88.09  3uzc_A  20.2
Q8NGY0_OR10X1        |   92.44   89.21  8f76_A  25.5 |   85.84   88.93  3vg9_A  16.9
Q8NGY1_OR10Z1        |   92.90   89.78  8f76_A  31.0 |   90.67   89.27  5uig_A  20.4
Q8NGY2_OR6K2         |   89.89   91.60  8f76_A  28.7 |   85.46   91.52  3uzc_A  18.8
Q8NGY3_OR6K3         |   89.95   89.08  8f76_A  27.5 |   84.39   88.65  3uzc_A  19.3
Q8NGY5_OR6N1         |   92.06   90.95  8f76_A  32.7 |   88.32   91.61  3vg9_A  22.8
Q8NGY6_OR6N2         |   93.15   92.35  8f76_A  30.9 |   90.34   90.83  3vg9_A  21.5
Q8NGY9_OR2L8         |   93.56   91.95  8f76_A  26.3 |   88.56   91.79  4amj_B  18.6
Q8NGZ0_OR2AJ1        |   92.11   90.97  8f76_A  26.8 |   88.84   90.44  5uig_A  20.1
Q8NGZ2_OR14K1        |   92.36   90.72  8f76_A  24.2 |   88.16   91.22  7bvq_A  19.7
Q8NGZ3_OR13G1        |   92.81   87.09  8f76_A  26.1 |   85.49   86.37  3vg9_A  18.9
Q8NGZ4_OR2G3         |   90.56   93.09  8f76_A  26.5 |   88.05   92.59  6to7_A  19.1
Q8NGZ5_OR2G2         |   90.26   87.53  8f76_A  26.5 |   91.86   88.19  3uzc_A  18.3
Q8NGZ6_OR6F1         |   91.01   91.23  8f76_A  31.5 |   90.94   91.35  3uzc_A  20.1
Q8NGZ9_OR2T10        |   93.06   91.96  8f76_A  30.8 |   88.19   91.81  7bvq_A  19.6
Q8NH00_OR2T4         |   87.81   91.66  8f76_A  25.9 |   84.12   91.08  3vg9_A  18.1
Q8NH01_OR2T11        |   90.60   90.18  8f76_A  29.1 |   90.71   89.66  3vg9_A  18.4
Q8NH02_OR2T29        |   92.19   92.53  8f76_A  28.6 |   90.03   92.01  5n2s_A  19.4
Q8NH03_OR2T3         |   92.96   90.24  8f76_A  26.1 |   86.60   89.60  3vg9_A  20.4
Q8NH04_OR2T27        |   91.36   90.89  8f76_A  25.6 |   88.17   90.70  3uzc_A  18.9
Q8NH05_OR4Q3         |   93.18   92.18  8f76_A  30.0 |   89.92   91.62  3vg9_A  21.1
Q8NH06_OR1P1         |   91.71   88.00  8f76_A  27.9 |   88.74   87.49  3vg9_A  20.9
Q8NH07_OR11H2        |   90.25   89.48  8f76_A  27.6 |   85.74   89.68  3uzc_A  19.0
Q8NH08_OR10AC1       |   89.57   88.84  8f76_A  26.8 |   77.87   87.87  6aqf_A  20.6
Q8NH09_OR8S1         |   94.23   89.89  8f76_A  21.7 |   88.37   90.00  3uzc_A  14.5
Q8NH10_OR8U1         |   92.92   92.78  8f76_A  28.5 |   90.40   92.65  3uzc_A  18.8
Q8NH16_OR2L2         |   93.05   91.01  8f76_A  26.0 |   88.77   90.50  7bvq_A  19.2
Q8NH18_OR5J2         |   91.67   88.25  8f76_A  26.0 |   90.01   87.71  2r4s_A  17.0
Q8NH19_OR10AG1       |   95.96   93.62  8f76_A  29.2 |   91.69   93.25  5n2s_A  19.6
Q8NH21_OR4F5         |   93.21   91.65  8f76_A  28.5 |   87.98   90.81  3vg9_A  21.0
Q8NH37_OR4C3         |   90.48   91.14  8f76_A  30.1 |   86.62   91.39  3uzc_A  21.5
Q8NH40_OR6S1         |   92.19   90.97  8f76_A  29.3 |   90.11   90.48  3vg9_A  20.5
Q8NH41_OR4K15        |   89.51   86.73  8f76_A  26.2 |   88.97   85.89  3vg9_A  19.1
Q8NH42_OR4K13        |   89.50   89.50  8f76_A  27.6 |   88.84   86.90  3vg9_A  21.4
Q8NH43_OR4L1         |   91.82   90.62  8f76_A  27.6 |   91.16   89.60  3uzc_A  18.9
Q8NH48_OR5B3         |   88.48   89.14  8f76_A  24.8 |   86.41   89.06  3uzc_A  17.5
Q8NH49_OR4X1         |   90.67   89.75  8f76_A  26.2 |   87.59   89.18  3uzc_A  19.3
Q8NH50_OR8K5         |   91.37   92.16  8f76_A  27.4 |   90.16   92.31  3vg9_A  18.6
Q8NH51_OR8K3         |   93.03   93.21  8f76_A  29.2 |   91.10   93.35  3vg9_A  20.5
Q8NH53_OR52N1        |   91.39   92.23  8f76_A  40.0 |   85.56   92.99  3uza_A  16.6
Q8NH54_OR56A3        |   90.89   87.09  8f76_A  31.4 |   90.24   87.55  7bvq_A  20.0
Q8NH55_OR52E5        |   89.01   85.46  8f76_A  41.9 |   85.32   86.69  6tq4_B  18.3
Q8NH56_OR52N5        |   88.51   85.92  8f76_A  43.5 |   82.97   87.01  6tos_B  16.4
Q8NH57_OR52P1        |   92.35   91.10  8f76_A  50.5 |   85.74   91.89  3vg9_A  17.8
Q8NH59_OR51Q1        |   90.05   90.44  8f76_A  42.3 |   84.49   90.88  2r4s_A  16.1
Q8NH60_OR52J3        |   93.03   89.94  8f76_A  42.1 |   87.45   90.69  6tos_B  19.9
Q8NH61_OR51F2        |   92.04   93.27  8f76_A  43.6 |   82.13   93.67  3vg9_A  17.8
Q8NH63_OR51H1        |   90.87   90.16  8f76_A  47.0 |   87.38   88.93  7bvq_A  17.5
Q8NH64_OR51A7        |   92.21   92.89  8f76_A  44.9 |   92.16   93.16  2r4s_A  17.9
Q8NH67_OR52I2        |   88.67   90.00  8f76_A  35.4 |   79.73   91.05  7bvq_A  18.0
Q8NH69_OR5W2         |   92.98   93.47  8f76_A  26.5 |   87.71   93.15  6tos_B  16.5
Q8NH70_OR4A16        |   88.32   89.20  8f76_A  26.5 |   83.36   89.20  7bvq_A  17.4
Q8NH72_OR4C6         |   89.44   90.47  8f76_A  26.5 |   88.55   90.86  3vg9_A  19.7
Q8NH73_OR4S2         |   87.38   90.99  8f76_A  25.1 |   90.90   90.69  3vg9_A  20.3
Q8NH74_OR10A6        |   92.12   89.74  8f76_A  30.6 |   90.43   89.56  3vg9_A  20.4
Q8NH76_OR56B4        |   94.17   84.04  8f76_A  31.0 |   90.80   84.59  5jqh_A  18.2
Q8NH79_OR6X1         |   89.49   90.03  8f76_A  27.9 |   90.12   90.37  3uzc_A  18.6
Q8NH80_OR10D3        |   89.37   90.42  8f76_A  28.8 |   89.29   90.19  3vg9_A  18.9
Q8NH81_OR10G6        |   91.87   91.28  8f76_A  27.4 |   90.65   90.71  7bvq_A  16.6
Q8NH83_OR4A5         |   88.76   91.51  8f76_A  28.3 |   86.15   90.92  7bvq_A  18.4
Q8NH85_OR8U3         |   91.94   92.39  8f76_A  25.6 |   88.89   92.19  2r4s_A  19.1
Q8NH87_OR9G1         |   94.17   86.60  8f76_A  25.9 |   85.11   86.20  3uzc_A  19.7
Q8NH90_OR5AK2        |   92.21   84.85  8f76_A  23.6 |   90.35   84.38  2r4r_A  16.8
Q8NH92_OR1S1         |   92.58   90.30  8f76_A  27.7 |   87.38   90.43  3uzc_A  18.8
Q8NH93_OR1L3         |   91.42   89.96  8f76_A  26.9 |   91.41   90.26  7bvq_A  20.7
Q8NH94_OR1L1         |   92.39   91.13  8f76_A  25.6 |   87.38   91.37  7bvq_A  17.5
Q8NHA4_OR2AE1        |   91.01   89.81  8f76_A  24.8 |   88.15   89.58  3vg9_A  18.9
Q8NHB1_OR2V1         |   92.91   88.97  8f76_A  27.3 |   88.26   88.40  3uzc_A  20.0
Q8NHB7_OR5K1         |   89.42   90.58  8f76_A  27.3 |   87.86   90.44  3uzc_A  19.2
Q8NHB8_OR5K2         |   89.35   89.51  8f76_A  25.6 |   86.02   90.32  3uzc_A  18.4
Q8NHC4_OR10J5        |   89.98   88.98  8f76_A  28.5 |   89.69   87.74  7bvq_A  17.2
Q8NHC5_OR14A16       |   91.07   91.21  8f76_A  25.6 |   89.88   91.77  6tos_B  19.7
Q8NHC6_OR14L1        |   90.61   90.66  8f76_A  24.7 |   83.36   91.01  3vg9_A  18.2
Q8NHC7_OR14C36       |   91.32   91.07  8f76_A  28.2 |   91.93   91.26  6tq4_B  18.3
Q8NHC8_OR2T6         |   92.25   91.08  8f76_A  27.9 |   80.69   90.25  2ycw_A  19.8
Q8TCB6_OR51E1        |   93.61   93.33  8f76_A  56.8 |   89.18   93.71  3vg9_A  18.6
Q8WZ84_OR8D1         |   92.56   92.56  8f76_A  27.9 |   91.43   92.15  2r4s_A  19.8
Q8WZ92_OR5P2         |   91.47   89.15  8f76_A  25.8 |   89.21   87.99  3kj6_A  17.7
Q8WZ94_OR5P3         |   90.75   89.63  8f76_A  27.0 |   89.17   89.68  2r4s_A  18.6
Q8WZA6_OR1E3         |   82.66   79.28  8f76_A  25.7 |   82.40   77.74  3vg9_A  17.8
Q96KK4_OR10C1        |   92.53   92.28  8f76_A  29.5 |   90.53   91.84  3uzc_A  21.8
Q96R08_OR5B12        |   91.28   91.26  8f76_A  25.5 |   85.90   90.75  3uzc_A  18.2
Q96R09_OR5B2         |   89.44   90.54  8f76_A  26.5 |   88.88   89.72  5n2s_A  19.7
Q96R27_OR2M4         |   90.92   89.56  8f76_A  27.3 |   88.37   89.57  3vg9_A  18.0
Q96R28_OR2M2         |   91.31   86.49  8f76_A  25.6 |   89.52   87.35  6i9k_A  18.4
Q96R30_OR2V2         |   91.96   88.26  8f76_A  27.3 |   88.39   88.26  3vg9_A  21.0
Q96R45_OR2A7         |   90.73   85.54  8f76_A  28.1 |   84.75   85.46  3vg9_A  19.0
Q96R47_OR2A14        |   90.89   89.86  8f76_A  26.8 |   87.91   89.75  3uzc_A  23.9
Q96R48_OR2A5         |   91.92   89.68  8f76_A  28.3 |   87.56   89.78  2r4s_A  20.3
Q96R54_OR14A2        |   90.03   87.45  8f76_A  24.8 |   88.76   87.98  2r4s_A  18.2
Q96R67_OR4C12        |   90.03   89.85  8f76_A  27.2 |   86.32   89.38  3vg9_A  20.1
Q96R69_OR4F4         |   93.22   91.54  8f76_A  28.9 |   89.62   91.28  3vg9_A  21.0
Q96R72_OR4K3         |   88.96   87.15  8f76_A  27.6 |   88.23   86.80  7bvq_A  18.7
Q96RA2_OR7D2         |   91.58   91.47  8f76_A  26.3 |   89.90   91.92  4amj_B  20.2
Q96RB7_OR5M11        |   90.89   90.52  8f76_A  27.9 |   90.75   90.99  3uzc_A  20.3
Q96RC9_OR8B4         |   90.86   89.66  8f76_A  28.2 |   88.09   90.59  6tos_B  17.5
Q96RD0_OR8B2         |   93.41   90.53  8f76_A  27.5 |   87.81   90.98  3uzc_A  17.9
Q96RD1_OR6C1         |   91.21   93.52  8f76_A  28.5 |   89.20   93.91  3vg9_A  19.6
Q96RD2_OR52B2        |   90.46   90.88  8f76_A  43.7 |   84.97   90.52  4gbr_A  19.5
Q96RD3_OR52E6        |   92.49   84.65  8f76_A  42.8 |   86.53   85.18  3vg9_A  20.1
Q9GZK3_OR2B2         |   89.49   88.66  8f76_A  22.4 |   87.80   88.88  6tos_B  16.0
Q9GZK4_OR2H1         |   93.20   92.47  8f76_A  25.9 |   90.63   92.55  5jqh_A  19.0
Q9GZK6_OR2J1         |   93.82   92.32  8f76_A  24.4 |   91.26   92.59  2ycw_A  18.6
Q9GZK7_OR11A1        |   90.70   89.96  8f76_A  27.9 |   90.38   89.96  7px4_A  22.2
Q9GZM6_OR8D2         |   90.29   89.58  8f76_A  27.3 |   89.48   89.03  6tos_B  18.3
Q9H205_OR2AG1        |   91.98   92.31  8f76_A  27.5 |   86.97   92.22  3uzc_A  18.7
Q9H207_OR10A5        |   90.96   92.94  8f76_A  27.1 |   91.53   93.13  3uzc_A  19.9
Q9H208_OR10A2        |   92.98   91.87  8f76_A  27.7 |   90.50   91.17  3uzc_A  19.8
Q9H209_OR10A4        |   93.67   92.97  8f76_A  27.6 |   89.19   92.93  3uzc_A  20.0
Q9H210_OR2D2         |   90.56   91.10  8f76_A  27.3 |   90.79   90.67  3uzc_A  19.5
Q9H255_OR51E2        |   95.22   92.17  8f76_A  99.4 |   88.35   93.53  6tos_B  18.1
Q9H2C5_OR52A5        |   91.09   92.82  8f76_A  45.6 |   88.20   93.21  3uzc_A  17.4
Q9H2C8_OR51V1        |   93.51   94.05  8f76_A  42.1 |   82.76   94.73  2r4s_A  19.6
Q9H339_OR51B5        |   92.23   89.84  8f76_A  46.2 |   86.40   92.85  3ayn_B  18.6
Q9H340_OR51B6        |   92.79   92.63  8f76_A  42.9 |   85.17   92.26  2r4s_A  18.3
Q9H341_OR51M1        |   92.60   91.83  8f76_A  40.5 |   77.54   92.04  3vg9_A  16.9
Q9H342_OR51J1        |   89.52   70.94  8f76_A  31.0 |   78.91   68.90  6i9k_A  15.2
Q9H343_OR51I1        |   92.55   92.48  8f76_A  45.2 |   84.95   92.57  6tos_B  19.7
Q9H344_OR51I2        |   93.39   93.16  8f76_A  52.2 |   86.05   94.01  6tos_B  20.5
Q9H346_OR52D1        |   91.65   90.62  8f76_A  45.9 |   89.51   91.18  3vg9_A  18.6
Q9NQN1_OR2S2         |   91.01   91.35  8f76_A  30.7 |   90.24   90.78  2ycw_A  20.1
Q9NZP0_OR6C3         |   89.41   92.73  8f76_A  27.3 |   89.48   92.89  6tq4_B  18.0
Q9NZP2_OR6C2         |   88.42   90.65  8f76_A  26.9 |   88.73   90.32  3vg9_A  17.6
Q9NZP5_OR5AC2        |   92.01   92.44  8f76_A  29.8 |   89.76   92.63  3uzc_A  17.2
Q9P1Q5_OR1A1         |   92.27   89.92  8f76_A  29.8 |   89.26   89.59  3vg9_A  20.4
Q9UGF5_OR14J1        |   89.62   89.46  8f76_A  25.9 |   87.61   90.01  2r4s_A  18.7
Q9UGF6_OR5V1         |   92.62   90.87  8f76_A  27.4 |   92.09   90.86  3vg9_A  18.4
Q9UGF7_OR12D3        |   87.96   88.32  8f76_A  28.8 |   88.99   88.74  3vg9_A  19.0
Q9UKL2_OR52A1        |   90.18   91.96  8f76_A  47.1 |   85.98   92.72  3vg9_A  17.9
Q9Y3N9_OR2W1         |   93.75   90.89  8f76_A  25.0 |   90.88   91.35  6tos_B  19.7
Q9Y4A9_OR10H1        |   90.67   92.69  8f76_A  29.9 |   88.81   92.03  3uzc_A  20.1
Q9Y585_OR1A2         |   90.60   91.58  8f76_A  28.8 |   88.44   90.59  3vg9_A  20.4
Q9Y5P0_OR51B4        |   94.52   87.14  8f76_A  38.7 |   84.73   90.43  7bvq_A  18.7
Q9Y5P1_OR51B2        |   93.10   92.03  8f76_A  41.0 |   84.91   92.54  3vg9_A  19.2
